LEAID_Preferred,LEAID_Alternative50,LEAID_Alternative30,a_math_read_sped_attd_60,f_math_read_sped_attd_60,n_attd_60,n_math_60,n_math_read_60,n_math_read_sped_attd_30,n_math_read_sped_attd_60,n_read_60,n_sped_60,n_sped_attd_60
11010,11010,11010,-5.96E-10,0.114412761,0.013845951,-3.95E-10,6.77E-10,-9.04E-11,-2.05E-09,0.000668577,0.001195585,0.002404757
13020,13020,25040,-1.70E-09,-4.71E-09,0.006086744,-1.87E-10,5.50E-10,0.05789,-7.14E-09,0.003226032,0.001080138,7.24E-10
14020,14010,25060,-5.44E-10,-1.65E-09,0.006332612,0.141069688,0.004628573,2.99E-09,0.152940375,0.009540927,0.002340621,3.83E-11
18060,14020,25240,0.114235129,-5.62E-09,0.004892624,2.64E-09,8.24E-10,0.196589082,-6.96E-09,0.002950505,0.000445782,1.33E-09
25040,25040,35040,-6.23E-10,-1.11E-09,0.008183562,-7.48E-10,6.24E-10,9.29E-10,-2.57E-09,0.001156716,0.020151045,0.023114732
25060,25060,41020,-1.99E-09,-3.89E-09,0.008237284,8.25E-10,4.56E-10,1.48E-09,-5.59E-09,0.001841679,0.03915816,0.018543019
25080,25080,41120,0.080021554,-2.58E-09,0.13058622,6.98E-10,6.50E-10,5.73E-09,-2.25E-09,0.000189033,0.001788634,-4.05E-10
25240,25130,50020,-1.08E-09,0.276352319,0.006736076,-2.30E-10,0.169168792,3.16E-09,0.04141196,0.060470377,0.001768831,4.11E-11
33020,25240,50090,0.073479997,-1.76E-09,0.001540597,-4.50E-10,2.12E-10,3.77E-09,-6.82E-10,0.001640977,0.001643925,0.008254663
33215,33020,61010,0.021593019,0.171988533,0.08084773,2.07E-09,1.78E-10,0.090576888,-7.00E-10,0.005740894,0.001999768,-5.94E-10
35040,38170,63030,-1.50E-09,-5.65E-10,0.007783486,3.23E-11,8.69E-10,0.01911135,0.079661433,0.003277689,0.000798454,0.042380649
38170,39010,63060,-4.92E-10,-6.75E-09,0.004017403,-3.06E-10,2.21E-10,5.66E-09,-4.92E-09,0.003074981,0.004748761,-7.46E-10
39010,39030,63250,-1.27E-09,0.011711987,0.00486824,-3.33E-10,6.05E-11,0.202420948,-2.62E-09,0.069970967,0.002994647,-1.99E-09
41010,41010,73010,-1.20E-09,-3.67E-09,0.005666764,7.22E-10,3.31E-10,1.03E-09,-4.67E-09,0.000482612,0.00029284,1.02E-09
41020,41020,80090,-9.59E-10,-4.27E-09,0.00745345,1.31E-09,6.02E-10,0.083029547,-4.71E-09,0.016015641,0.018658289,2.05E-09
41120,41026,81020,-1.34E-09,-3.55E-09,0.015521058,1.44E-09,7.28E-10,0.017749383,-6.70E-09,0.001903815,0.00250093,3.14E-10
41140,41120,82010,-2.42E-09,-6.88E-09,0.007891951,9.99E-10,5.52E-10,1.21E-09,-4.57E-09,0.002050076,0.169519071,-8.53E-10
